hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"<$50,000 per year",45000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,31
"$50,000+ per year",179000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,48
"$50,000+ per year",140000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,41
"$50,000+ per year",139000,None,Not employed at this time,NA,Yes,No,NA,45
"<$50,000 per year",45500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"$50,000+ per year",92000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"<$50,000 per year",23000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,60
"<$50,000 per year",43500,One or more,Not employed at this time,NA,No,Yes,NA,61
"<$50,000 per year",33000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,47
"$50,000+ per year",137000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,38
"<$50,000 per year",41500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"$50,000+ per year",139000,None,Not employed at this time,NA,Yes,No,NA,52
"<$50,000 per year",37500,None,Not employed at this time,NA,Yes,No,NA,65
"$50,000+ per year",50000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,49
"$50,000+ per year",165000,None,Not employed at this time,NA,No,No,NA,33
"<$50,000 per year",47000,None,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",140000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,39
"$50,000+ per year",225000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,31
"<$50,000 per year",5000,None,Employed full time,Do all of your work from home,No,No,No,65
"<$50,000 per year",39500,None,Employed part-time,Do all of your work from home,No,No,Yes,65
"$50,000+ per year",52000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,62
"<$50,000 per year",14500,One or more,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,52
"<$50,000 per year",12500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,47
"<$50,000 per year",46000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,44
"<$50,000 per year",48500,One or more,Not employed at this time,NA,Yes,No,NA,58
"<$50,000 per year",21000,One or more,Employed full time,Do all of your work from home,No,Yes,No,63
"$50,000+ per year",171000,None,Not employed at this time,NA,No,No,NA,78
"<$50,000 per year",500,One or more,Employed full time,Do all of your work from home,No,No,No,55
"<$50,000 per year",22000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,46
"$50,000+ per year",63000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,46
"$50,000+ per year",120000,None,Not employed at this time,NA,Yes,No,NA,31
"$50,000+ per year",62000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,64
"$50,000+ per year",105000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,76
"<$50,000 per year",11500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,63
"$50,000+ per year",154000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"$50,000+ per year",250000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,44
"<$50,000 per year",47500,One or more,Not employed at this time,NA,Yes,Yes,NA,70
"$50,000+ per year",206000,None,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",5500,None,Not employed at this time,NA,No,No,NA,44
"<$50,000 per year",38000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,40
"<$50,000 per year",5000,One or more,Not employed at this time,NA,No,Yes,NA,41
"$50,000+ per year",66000,None,Not employed at this time,NA,Yes,No,NA,41
"<$50,000 per year",14500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,53
"<$50,000 per year",10000,One or more,Not employed at this time,NA,Yes,Yes,NA,45
"$50,000+ per year",79000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,58
"<$50,000 per year",41000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,37
"$50,000+ per year",123000,None,Not employed at this time,NA,Yes,No,NA,54
"<$50,000 per year",1500,None,Not employed at this time,NA,Yes,No,NA,54
"<$50,000 per year",42500,One or more,Not employed at this time,NA,Yes,No,NA,40
"$50,000+ per year",54000,None,Employed full time,Do all of your work from home,Yes,No,No,43
"$50,000+ per year",143000,None,Not employed at this time,NA,Yes,No,NA,59
"$50,000+ per year",450000,None,Employed full time,Do all of your work from home,No,No,No,21
"$50,000+ per year",148000,None,Not employed at this time,NA,No,No,NA,68
"<$50,000 per year",41500,One or more,Not employed at this time,NA,No,No,NA,67
"<$50,000 per year",21500,One or more,Not employed at this time,NA,No,Yes,NA,54
"$50,000+ per year",58000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,37
"$50,000+ per year",56000,None,Employed part-time,Do all of your work from home,No,No,No,21
"$50,000+ per year",195000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,36
"<$50,000 per year",24000,None,Not employed at this time,NA,No,No,NA,40
"$50,000+ per year",54000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,20
"$50,000+ per year",136000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,31
"$50,000+ per year",113000,One or more,Not employed at this time,NA,Yes,Yes,NA,27
"<$50,000 per year",43500,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,69
"<$50,000 per year",36000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,18
"<$50,000 per year",1500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,44
"$50,000+ per year",206000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,61
"$50,000+ per year",450000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"$50,000+ per year",116000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,39
"$50,000+ per year",142000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,73
"<$50,000 per year",17500,One or more,Employed full time,Do all of your work from home,No,Yes,No,64
"$50,000+ per year",113000,None,Employed full time,Do all of your work from home,No,No,No,53
"$50,000+ per year",139000,One or more,Not employed at this time,NA,Yes,No,NA,36
"<$50,000 per year",11000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,60
"$50,000+ per year",122000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,43
"$50,000+ per year",67000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,45
"<$50,000 per year",12000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,52
"<$50,000 per year",6000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,24
"<$50,000 per year",17500,None,Not employed at this time,NA,Yes,No,NA,33
"$50,000+ per year",171000,None,Employed full time,Do all of your work from home,No,No,No,66
"<$50,000 per year",48500,One or more,Not employed at this time,NA,No,Yes,NA,53
"<$50,000 per year",46000,One or more,Not employed at this time,NA,Yes,Yes,NA,45
"<$50,000 per year",37000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,18
"$50,000+ per year",127000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,31
"$50,000+ per year",140000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,53
"<$50,000 per year",19000,None,Not employed at this time,NA,Yes,No,NA,33
"<$50,000 per year",9500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"$50,000+ per year",84000,None,Employed full time,Do all of your work from home,Yes,No,No,64
"$50,000+ per year",110000,None,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",130000,None,Not employed at this time,NA,Yes,No,NA,19
"$50,000+ per year",175000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,69
"<$50,000 per year",44500,One or more,Employed full time,Do all of your work from home,No,No,No,52
"$50,000+ per year",216000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,25
"$50,000+ per year",92000,One or more,Not employed at this time,NA,Yes,Yes,NA,69
"<$50,000 per year",47000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,19
"<$50,000 per year",4500,None,Employed full time,Do all of your work from home,No,No,Yes,32
"$50,000+ per year",147000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,49
"<$50,000 per year",22500,None,Not employed at this time,NA,No,No,NA,61
"<$50,000 per year",39500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,58
"<$50,000 per year",49500,One or more,Not employed at this time,NA,No,No,NA,18
"<$50,000 per year",14000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,60
"$50,000+ per year",92000,One or more,Not employed at this time,NA,Yes,No,NA,57
"<$50,000 per year",43500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,52
"$50,000+ per year",198000,None,Not employed at this time,NA,Yes,No,NA,30
"$50,000+ per year",140000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",46000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,57
"<$50,000 per year",45000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,65
"$50,000+ per year",65000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,82
"$50,000+ per year",98000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,39
"<$50,000 per year",7000,One or more,Not employed at this time,NA,Yes,Yes,NA,52
"$50,000+ per year",450000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,56
"$50,000+ per year",86000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,61
"<$50,000 per year",46500,One or more,Not employed at this time,NA,Yes,Yes,NA,44
"$50,000+ per year",180000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,33
"$50,000+ per year",177000,None,Not employed at this time,NA,No,No,NA,52
"<$50,000 per year",36000,One or more,Not employed at this time,NA,Don’t know/Refused/Web blank,Yes,NA,55
"$50,000+ per year",136000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,47
"$50,000+ per year",72000,One or more,Not employed at this time,NA,No,No,NA,33
"<$50,000 per year",1000,One or more,Not employed at this time,NA,No,Yes,NA,67
"$50,000+ per year",67000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,55
"$50,000+ per year",137000,None,Employed full time,Do all of your work from home,Yes,No,No,27
"$50,000+ per year",142000,None,Not employed at this time,NA,Yes,No,NA,33
"<$50,000 per year",49000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"$50,000+ per year",191000,None,Not employed at this time,NA,Yes,No,NA,64
"$50,000+ per year",139000,None,Not employed at this time,NA,Yes,No,NA,36
"<$50,000 per year",26500,One or more,Not employed at this time,NA,Yes,No,NA,67
"$50,000+ per year",147000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,63
"$50,000+ per year",229000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,57
"<$50,000 per year",38000,One or more,Not employed at this time,NA,Yes,No,NA,44
"$50,000+ per year",203000,None,Employed full time,Do all of your work from home,Yes,No,No,36
"<$50,000 per year",47000,One or more,Not employed at this time,NA,No,No,NA,50
"$50,000+ per year",91000,One or more,Not employed at this time,NA,No,Yes,NA,66
"$50,000+ per year",229000,None,Not employed at this time,NA,No,No,NA,38
"<$50,000 per year",23000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,57
"<$50,000 per year",41000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,41
"<$50,000 per year",40000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,44
"$50,000+ per year",178000,None,Employed full time,Do all of your work from home,No,No,No,54
"<$50,000 per year",2000,One or more,Not employed at this time,NA,No,No,NA,27
"<$50,000 per year",42500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,49
"$50,000+ per year",53000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"<$50,000 per year",45000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,58
"$50,000+ per year",117000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,59
"$50,000+ per year",217000,None,Not employed at this time,NA,No,No,NA,58
"<$50,000 per year",22000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,65
"<$50,000 per year",15000,One or more,Not employed at this time,NA,Yes,No,NA,56
"<$50,000 per year",4000,One or more,Not employed at this time,NA,Yes,Yes,NA,62
"<$50,000 per year",46500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"$50,000+ per year",85000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,68
"<$50,000 per year",34000,None,Not employed at this time,NA,Yes,No,NA,37
"<$50,000 per year",38500,None,Not employed at this time,NA,Yes,No,NA,18
"<$50,000 per year",13000,One or more,Not employed at this time,NA,No,No,NA,40
"<$50,000 per year",45000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,56
"<$50,000 per year",10000,One or more,Employed full time,Do all of your work from home,No,Yes,No,43
"<$50,000 per year",5000,None,Not employed at this time,NA,Yes,No,NA,70
"<$50,000 per year",46000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,67
"<$50,000 per year",21500,One or more,Not employed at this time,NA,No,No,NA,34
"$50,000+ per year",58000,None,Not employed at this time,NA,Yes,No,NA,20
"$50,000+ per year",160000,One or more,Not employed at this time,NA,Yes,No,NA,64
"<$50,000 per year",37000,None,Employed part-time,Do all of your work from home,Yes,No,No,63
"<$50,000 per year",44000,One or more,Not employed at this time,NA,No,Yes,NA,45
"$50,000+ per year",177000,None,Not employed at this time,NA,Yes,No,NA,43
"<$50,000 per year",44000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,18
"$50,000+ per year",119000,None,Not employed at this time,NA,No,No,NA,41
"$50,000+ per year",144000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,34
"$50,000+ per year",80000,None,Not employed at this time,NA,No,No,NA,33
"<$50,000 per year",4500,One or more,Not employed at this time,NA,No,Yes,NA,63
"$50,000+ per year",246000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,45
"<$50,000 per year",46000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,63
"<$50,000 per year",20000,One or more,Not employed at this time,NA,Yes,Yes,NA,35
"<$50,000 per year",16000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,48
"$50,000+ per year",192000,None,Not employed at this time,NA,No,No,NA,40
"$50,000+ per year",137000,None,Not employed at this time,NA,No,No,NA,18
"$50,000+ per year",62000,One or more,Not employed at this time,NA,Yes,Yes,NA,24
"<$50,000 per year",40000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,63
"<$50,000 per year",30500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"$50,000+ per year",95000,None,Not employed at this time,NA,Yes,No,NA,77
"<$50,000 per year",4500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"$50,000+ per year",115000,None,Employed full time,Do all of your work from home,No,No,No,44
"$50,000+ per year",240000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,29
"<$50,000 per year",45500,None,Not employed at this time,NA,No,No,NA,67
"<$50,000 per year",15000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,35
"<$50,000 per year",37500,One or more,Not employed at this time,NA,No,No,NA,56
"$50,000+ per year",50000,One or more,Employed full time,Do all of your work from home,Yes,Yes,Yes,47
"$50,000+ per year",111000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,35
"<$50,000 per year",42000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,32
"$50,000+ per year",123000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,58
"<$50,000 per year",19500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"<$50,000 per year",49000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,23
"<$50,000 per year",12000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,42
"<$50,000 per year",47000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,27
"<$50,000 per year",42500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,53
"$50,000+ per year",170000,None,Employed full time,Do all of your work from home,No,No,Yes,58
"$50,000+ per year",142000,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",13500,One or more,Not employed at this time,NA,Yes,Yes,NA,67
"$50,000+ per year",215000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,70
"<$50,000 per year",38500,None,Not employed at this time,NA,No,No,NA,70
"<$50,000 per year",23000,One or more,Employed full time,Do all of your work from home,No,Yes,No,47
"$50,000+ per year",75000,None,Not employed at this time,NA,Yes,No,NA,27
"$50,000+ per year",204000,None,Employed full time,Do all of your work from home,Yes,No,No,64
"$50,000+ per year",201000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,18
"<$50,000 per year",2500,One or more,Not employed at this time,NA,No,Yes,NA,36
"$50,000+ per year",242000,None,Not employed at this time,NA,Yes,No,NA,22
"$50,000+ per year",226000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"$50,000+ per year",168000,None,Employed full time,Do all of your work from home,Yes,No,Yes,22
"$50,000+ per year",218000,One or more,Not employed at this time,NA,No,Yes,NA,33
"$50,000+ per year",98000,None,Not employed at this time,NA,No,No,NA,61
"<$50,000 per year",40000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,63
"$50,000+ per year",95000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,29
"$50,000+ per year",99000,None,Not employed at this time,NA,No,No,NA,49
"$50,000+ per year",154000,None,Not employed at this time,NA,Yes,No,NA,29
"$50,000+ per year",116000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,65
"$50,000+ per year",130000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"$50,000+ per year",141000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,58
"<$50,000 per year",1000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,63
"$50,000+ per year",193000,None,Not employed at this time,NA,No,No,NA,65
"$50,000+ per year",103000,None,Not employed at this time,NA,No,No,NA,19
"<$50,000 per year",26500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",45500,One or more,Not employed at this time,NA,Yes,No,NA,61
"<$50,000 per year",14500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,36
"$50,000+ per year",106000,One or more,Not employed at this time,NA,No,No,NA,52
"<$50,000 per year",40000,One or more,Not employed at this time,NA,Yes,Yes,NA,57
"$50,000+ per year",139000,None,Not employed at this time,NA,No,No,NA,39
"$50,000+ per year",62000,None,Not employed at this time,NA,Yes,No,NA,52
"$50,000+ per year",103000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"<$50,000 per year",20000,One or more,Not employed at this time,NA,No,No,NA,37
"$50,000+ per year",64000,None,Employed part-time,Do all of your work from home,Yes,No,Yes,43
"<$50,000 per year",11000,None,Employed full time,Do all of your work from home,No,No,Yes,37
"<$50,000 per year",13500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,42
"<$50,000 per year",21500,One or more,Not employed at this time,NA,No,No,NA,62
"<$50,000 per year",48000,None,Not employed at this time,NA,No,No,NA,56
"<$50,000 per year",39000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,45
"$50,000+ per year",114000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"<$50,000 per year",12500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,38
"$50,000+ per year",128000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"$50,000+ per year",126000,None,Not employed at this time,NA,Yes,No,NA,48
"$50,000+ per year",243000,None,Not employed at this time,NA,Yes,No,NA,18
"$50,000+ per year",86000,None,Not employed at this time,NA,Yes,No,NA,35
"$50,000+ per year",106000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,56
"$50,000+ per year",89000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",147000,None,Not employed at this time,NA,No,No,NA,26
"$50,000+ per year",129000,None,Not employed at this time,NA,No,No,NA,62
"$50,000+ per year",59000,None,Employed full time,Do all of your work from home,Don’t know/Refused/Web blank,No,No,61
"<$50,000 per year",7000,One or more,Not employed at this time,NA,No,No,NA,25
"$50,000+ per year",750000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,33
"$50,000+ per year",99000,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",39500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,36
"<$50,000 per year",38000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,43
"$50,000+ per year",128000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,24
"$50,000+ per year",73000,None,Employed part-time,Do all of your work from home,Yes,No,No,33
"$50,000+ per year",140000,None,Employed part-time,Do all of your work from home,Yes,No,No,25
"$50,000+ per year",212000,None,Not employed at this time,NA,Yes,No,NA,29
"<$50,000 per year",38000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,57
"$50,000+ per year",108000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,35
"<$50,000 per year",35500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,49
"$50,000+ per year",175000,None,Not employed at this time,NA,No,No,NA,39
"<$50,000 per year",46500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,19
"$50,000+ per year",101000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,43
"<$50,000 per year",11000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,43
"$50,000+ per year",113000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,54
"$50,000+ per year",224000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,36
"$50,000+ per year",125000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,38
"$50,000+ per year",126000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"<$50,000 per year",42500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,63
"<$50,000 per year",17000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,69
"<$50,000 per year",43000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"$50,000+ per year",57000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,Yes,44
"$50,000+ per year",102000,None,Not employed at this time,NA,Yes,No,NA,49
"<$50,000 per year",44000,One or more,Not employed at this time,NA,Yes,Yes,NA,40
"$50,000+ per year",70000,None,Not employed at this time,NA,No,No,NA,27
"<$50,000 per year",2000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,35
"$50,000+ per year",100000,None,Not employed at this time,NA,No,No,NA,51
"$50,000+ per year",109000,None,Not employed at this time,NA,Yes,No,NA,58
"$50,000+ per year",228000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,35
"<$50,000 per year",17000,One or more,Not employed at this time,NA,Yes,No,NA,66
"$50,000+ per year",233000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,Yes,21
"<$50,000 per year",7000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,62
"<$50,000 per year",36500,None,Employed full time,Do all of your work from home,No,No,No,43
"$50,000+ per year",52000,One or more,Not employed at this time,NA,No,No,NA,33
"$50,000+ per year",137000,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",36000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,62
"$50,000+ per year",80000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,70
"<$50,000 per year",9000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,33
"$50,000+ per year",67000,None,Not employed at this time,NA,No,No,NA,68
"$50,000+ per year",87000,One or more,Not employed at this time,NA,Yes,Yes,NA,57
"<$50,000 per year",1000,None,Not employed at this time,NA,No,No,NA,40
"$50,000+ per year",185000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,29
"<$50,000 per year",48000,None,Not employed at this time,NA,No,No,NA,36
"$50,000+ per year",82000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,48
"<$50,000 per year",17500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,86
"$50,000+ per year",86000,None,Not employed at this time,NA,Yes,No,NA,29
"$50,000+ per year",64000,None,Employed full time,Do all of your work from home,No,No,No,20
"<$50,000 per year",35000,One or more,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",43000,One or more,Employed part-time,Do all of your work from home,Yes,Yes,Yes,35
"$50,000+ per year",57000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"$50,000+ per year",117000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"$50,000+ per year",51000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,46
"$50,000+ per year",215000,None,Not employed at this time,NA,Yes,No,NA,58
"<$50,000 per year",6500,One or more,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",1000,One or more,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",1000,One or more,Employed full time,Do all of your work from home,Yes,Yes,Yes,58
"$50,000+ per year",101000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,57
"<$50,000 per year",47500,One or more,Employed part-time,Do all of your work from home,No,No,No,47
"$50,000+ per year",101000,None,Not employed at this time,NA,Yes,No,NA,21
"<$50,000 per year",37500,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",59000,None,Not employed at this time,NA,No,No,NA,36
"<$50,000 per year",45500,None,Not employed at this time,NA,No,No,NA,61
"<$50,000 per year",11500,One or more,Not employed at this time,NA,No,No,NA,39
"<$50,000 per year",39500,One or more,Not employed at this time,NA,Yes,No,NA,47
"$50,000+ per year",78000,None,Not employed at this time,NA,No,No,NA,32
"$50,000+ per year",205000,None,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",39500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,34
"<$50,000 per year",45000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,19
"$50,000+ per year",186000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"$50,000+ per year",66000,None,Employed full time,Do all of your work from home,No,No,No,50
"$50,000+ per year",99000,None,Not employed at this time,NA,Yes,No,NA,51
"<$50,000 per year",27000,One or more,Not employed at this time,NA,No,Yes,NA,51
"<$50,000 per year",5500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,24
