hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"$50,000+ per year",97000,None,Not employed at this time,NA,No,No,NA,50
"<$50,000 per year",47000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,54
"<$50,000 per year",10500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",62000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,52
"<$50,000 per year",46500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,43
"$50,000+ per year",113000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,28
"$50,000+ per year",228000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"$50,000+ per year",56000,None,Not employed at this time,NA,Yes,No,NA,26
"<$50,000 per year",15000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,27
"<$50,000 per year",43000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,54
"$50,000+ per year",192000,One or more,Not employed at this time,NA,Yes,No,NA,49
"<$50,000 per year",49000,None,Not employed at this time,NA,Yes,No,NA,29
"$50,000+ per year",178000,None,Employed full time,Do all of your work from home,No,No,No,33
"$50,000+ per year",97000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,48
"$50,000+ per year",58000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,48
"$50,000+ per year",81000,One or more,Not employed at this time,NA,No,Yes,NA,61
"$50,000+ per year",205000,None,Not employed at this time,NA,No,No,NA,52
"$50,000+ per year",63000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,55
"<$50,000 per year",42500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,53
"$50,000+ per year",57000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,75
"$50,000+ per year",188000,None,Not employed at this time,NA,Yes,No,NA,56
"<$50,000 per year",36000,One or more,Not employed at this time,NA,Yes,Yes,NA,67
"$50,000+ per year",114000,None,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,46
"<$50,000 per year",46000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,70
"$50,000+ per year",51000,None,Not employed at this time,NA,Yes,No,NA,69
"$50,000+ per year",125000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,65
"$50,000+ per year",143000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
"<$50,000 per year",9500,One or more,Employed full time,Do all of your work from home,Yes,No,No,44
"$50,000+ per year",50000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,46
"$50,000+ per year",147000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,42
"$50,000+ per year",137000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,70
"<$50,000 per year",4000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,65
"<$50,000 per year",6500,None,Not employed at this time,NA,Yes,No,NA,68
"<$50,000 per year",40000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,31
"<$50,000 per year",47000,None,Not employed at this time,NA,Yes,No,NA,43
"$50,000+ per year",80000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,32
"$50,000+ per year",109000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,26
"$50,000+ per year",91000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,29
"<$50,000 per year",48500,One or more,Not employed at this time,NA,No,Yes,NA,57
"$50,000+ per year",63000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,33
"<$50,000 per year",20500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,47
"<$50,000 per year",37500,None,Not employed at this time,NA,No,No,NA,51
"$50,000+ per year",80000,None,Employed full time,Do all of your work from home,Yes,No,No,55
"$50,000+ per year",132000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"$50,000+ per year",140000,One or more,Not employed at this time,NA,Yes,No,NA,45
"<$50,000 per year",31000,One or more,Employed full time,Do all of your work from home,No,No,Yes,73
"$50,000+ per year",111000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,24
"<$50,000 per year",6500,One or more,Not employed at this time,NA,No,Yes,NA,31
"<$50,000 per year",7500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,33
"<$50,000 per year",48500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,31
"$50,000+ per year",93000,None,Not employed at this time,NA,No,No,NA,36
"<$50,000 per year",13500,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",190000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,37
"<$50,000 per year",2000,None,Not employed at this time,NA,No,No,NA,40
"$50,000+ per year",57000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,39
"<$50,000 per year",3000,None,Not employed at this time,NA,Yes,No,NA,25
"<$50,000 per year",5000,None,Not employed at this time,NA,Yes,No,NA,38
"<$50,000 per year",2500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,39
"$50,000+ per year",71000,None,Employed full time,Do all of your work from home,Yes,No,No,49
"$50,000+ per year",148000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,73
"$50,000+ per year",51000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,57
"<$50,000 per year",20500,One or more,Employed full time,Do all of your work from home,Yes,No,No,33
"$50,000+ per year",73000,None,Not employed at this time,NA,No,No,NA,67
"<$50,000 per year",39500,None,Not employed at this time,NA,Yes,No,NA,65
"$50,000+ per year",92000,None,Not employed at this time,NA,Yes,No,NA,63
"$50,000+ per year",103000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,22
"<$50,000 per year",3000,One or more,Not employed at this time,NA,Yes,Yes,NA,63
"<$50,000 per year",47000,One or more,Not employed at this time,NA,No,No,NA,50
"<$50,000 per year",45500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"$50,000+ per year",52000,None,Not employed at this time,NA,Yes,No,NA,49
"$50,000+ per year",53000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,66
"$50,000+ per year",91000,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",21000,One or more,Not employed at this time,NA,Don’t know/Refused/Web blank,Yes,NA,26
"$50,000+ per year",216000,None,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",9500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,60
"$50,000+ per year",109000,None,Employed part-time,Do all of your work from home,Yes,No,No,58
"<$50,000 per year",39500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"$50,000+ per year",176000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,61
"$50,000+ per year",79000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,59
"<$50,000 per year",35500,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,68
"$50,000+ per year",93000,None,Not employed at this time,NA,Yes,No,NA,56
"<$50,000 per year",46500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"<$50,000 per year",36500,One or more,Not employed at this time,NA,Don’t know/Refused/Web blank,Yes,NA,41
"<$50,000 per year",15000,One or more,Not employed at this time,NA,Yes,No,NA,60
"<$50,000 per year",48500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,31
"<$50,000 per year",30000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,73
"$50,000+ per year",750000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,46
"<$50,000 per year",25500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,38
"<$50,000 per year",41500,None,Not employed at this time,NA,No,No,NA,60
"$50,000+ per year",224000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,56
"$50,000+ per year",64000,None,Not employed at this time,NA,Yes,No,NA,54
"$50,000+ per year",119000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,44
"<$50,000 per year",3500,One or more,Employed part-time,Do all of your work from home,No,No,No,41
"<$50,000 per year",13000,One or more,Employed full time,Do all of your work from home,No,No,No,26
"<$50,000 per year",39000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,19
"$50,000+ per year",136000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,66
"<$50,000 per year",1000,One or more,Not employed at this time,NA,Yes,No,NA,67
"$50,000+ per year",122000,None,Not employed at this time,NA,Yes,No,NA,27
"$50,000+ per year",193000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,19
"<$50,000 per year",27000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,58
"<$50,000 per year",5000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"<$50,000 per year",9500,One or more,Employed full time,Do all of your work from home,No,No,No,51
"$50,000+ per year",59000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,39
"<$50,000 per year",14500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,49
"<$50,000 per year",36000,One or more,Not employed at this time,NA,No,Yes,NA,64
"$50,000+ per year",243000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,59
"$50,000+ per year",113000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,53
"<$50,000 per year",5000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,21
"$50,000+ per year",237000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,69
"$50,000+ per year",77000,One or more,Not employed at this time,NA,Yes,Yes,NA,63
"<$50,000 per year",37000,One or more,Employed full time,Do all of your work from home,Yes,No,Yes,20
"$50,000+ per year",202000,None,Employed full time,Do all of your work from home,No,No,Yes,50
"$50,000+ per year",85000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,68
"$50,000+ per year",173000,None,Not employed at this time,NA,Yes,No,NA,46
"$50,000+ per year",168000,None,Not employed at this time,NA,No,No,NA,66
"<$50,000 per year",9000,One or more,Not employed at this time,NA,No,Yes,NA,37
"$50,000+ per year",95000,None,Not employed at this time,NA,Yes,No,NA,57
"<$50,000 per year",25500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,59
"<$50,000 per year",39500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,56
"$50,000+ per year",223000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,56
"<$50,000 per year",27000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,42
"$50,000+ per year",119000,None,Employed full time,Do all of your work from home,No,No,No,57
"$50,000+ per year",63000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,62
"$50,000+ per year",141000,None,Not employed at this time,NA,No,No,NA,64
"$50,000+ per year",79000,One or more,Not employed at this time,NA,Yes,Yes,NA,59
"$50,000+ per year",140000,None,Not employed at this time,NA,No,No,NA,56
"<$50,000 per year",14000,None,Not employed at this time,NA,No,No,NA,44
"$50,000+ per year",95000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,74
"$50,000+ per year",238000,One or more,Not employed at this time,NA,No,Yes,NA,35
"$50,000+ per year",78000,None,Employed full time,Do all of your work from home,Yes,No,Yes,44
"$50,000+ per year",70000,None,Not employed at this time,NA,No,No,NA,63
"<$50,000 per year",7500,None,Not employed at this time,NA,Yes,No,NA,58
"<$50,000 per year",47000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,19
"$50,000+ per year",233000,One or more,Not employed at this time,NA,Yes,Yes,NA,28
"$50,000+ per year",142000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,65
"<$50,000 per year",46000,None,Not employed at this time,NA,No,No,NA,39
"<$50,000 per year",38000,None,Not employed at this time,NA,Yes,No,NA,44
"$50,000+ per year",58000,None,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",35000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,39
"<$50,000 per year",1500,None,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",13500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,43
"<$50,000 per year",42500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,67
"$50,000+ per year",63000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,48
"$50,000+ per year",241000,One or more,Employed full time,Do all of your work from home,No,No,No,70
"$50,000+ per year",203000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,43
"$50,000+ per year",130000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"<$50,000 per year",12500,None,Not employed at this time,NA,Yes,No,NA,62
"<$50,000 per year",33500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,19
"<$50,000 per year",37500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,41
"$50,000+ per year",117000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,63
"$50,000+ per year",550000,One or more,Not employed at this time,NA,No,Yes,NA,19
"$50,000+ per year",139000,None,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",141000,None,Not employed at this time,NA,No,No,NA,53
"$50,000+ per year",187000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,24
"<$50,000 per year",37000,None,Not employed at this time,NA,Yes,No,NA,42
"<$50,000 per year",1000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,Yes,23
"<$50,000 per year",4000,One or more,Not employed at this time,NA,Yes,Yes,NA,34
"<$50,000 per year",5000,None,Employed part-time,Do all of your work from home,Yes,No,No,63
"<$50,000 per year",5500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,64
"<$50,000 per year",43500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,61
"$50,000+ per year",119000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,50
"$50,000+ per year",56000,None,Not employed at this time,NA,No,No,NA,58
"$50,000+ per year",101000,One or more,Not employed at this time,NA,Yes,No,NA,40
"<$50,000 per year",35000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,38
"<$50,000 per year",47000,None,Not employed at this time,NA,No,No,NA,46
"<$50,000 per year",10500,One or more,Not employed at this time,NA,No,No,NA,26
"$50,000+ per year",101000,None,Not employed at this time,NA,Yes,No,NA,55
"<$50,000 per year",44500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,25
"$50,000+ per year",86000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,59
"$50,000+ per year",144000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,32
"$50,000+ per year",176000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,51
"$50,000+ per year",68000,None,Not employed at this time,NA,Yes,No,NA,19
"<$50,000 per year",2500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,54
"<$50,000 per year",38500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,41
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,61
"<$50,000 per year",40000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,53
"$50,000+ per year",143000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,20
"$50,000+ per year",68000,None,Not employed at this time,NA,Yes,No,NA,45
"<$50,000 per year",11500,One or more,Not employed at this time,NA,Yes,Yes,NA,52
"$50,000+ per year",54000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,18
"<$50,000 per year",37500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,72
"$50,000+ per year",123000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,40
"$50,000+ per year",123000,None,Not employed at this time,NA,No,No,NA,54
"<$50,000 per year",24500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,70
"$50,000+ per year",53000,One or more,Not employed at this time,NA,Yes,No,NA,48
"$50,000+ per year",146000,None,Not employed at this time,NA,Yes,No,NA,43
"$50,000+ per year",101000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,43
"<$50,000 per year",10500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,37
"$50,000+ per year",106000,None,Not employed at this time,NA,No,No,NA,19
